user_score;publisher;title;genre;score;release
;;Adventures of FrikiBoy;;;Jan 31, 2015
;;Adventures of Pip;;72;Mar 17, 2015
;eGames;Adventures of Robinson Crusoe;Miscellaneous,Puzzle,General,General,Puzzle,Puzzle;;May 8, 2009
;;Adventurezator: When Pigs Fly;;;Jul 23, 2014
;;AdvertCity;;;Jun 5, 2015
;;AE Heart;;;Apr 8, 2014
;;Aeon Ball;;;Mar 25, 2015
6.8;;Aeon Command;;;Jul 3, 2014
;;Aerannis;;;Sep 15, 2015
8.8;;Aerena - Clash of Champions;;;Oct 17, 2013
;;Aerial Antics;;;Feb 6, 2003
;DreamCatcher Interactive;Aerial Strike: The Yager Missions;Action,Shooter,Sci-Fi,Third-Person,Sci-Fi,Shooter;62;Feb 4, 2005
;;Aero Chimera;;;Apr 24, 2014
8.3;;Aero's Quest;;;Jun 8, 2015
6.6;;aerofly FS;;;Oct 17, 2012
;;aerofly RC 7;;;Nov 6, 2014
;;Aeternum;;;Oct 10, 2013
8.0;;Aether;;;Jan 1, 2008
;;Aetherion;;;Aug 25, 2011
;;Affiance;;;Apr 15, 2014
3.8;;Afro Samurai 2: Revenge of Kuma Volume One;;;Sep 22, 2015
;;After All;;;Apr 20, 2015
;Bandai;After Dark Games;Action,General,General;;Sep 30, 1998
;;After Reset RPG;;;Mar 9, 2015
;;After The End: The Harvest;;;Jul 10, 2015
5.9;;Afterfall: InSanity;;50;Nov 25, 2011
2.2;;Afterfall: InSanity - Dirty Arena Edition;;;May 9, 2013
7.0;;Afterfall: InSanity Extended Edition;;;Aug 10, 2012
6.4;;Afterfall: Reconquest - Episode I;;;Feb 19, 2015
;;Afterlife Empire;;;Aug 14, 2015
;;AfterMath - a post-apoc text-based game;;;Apr 3, 2013
6.4;Encore Software, Inc.;Against Rome;Strategy,Real-Time,Historic,Historic;;May 5, 2004
;;Agapan;;;May 29, 2015
6.9;;Agarest: Generations of War;;45;Oct 3, 2013
7.8;;Agarest: Generations of War 2;;;Feb 19, 2015
6.2;;Agarest: Generations of War Zero;;;Apr 17, 2014
;;Agatha Christie 4:50 from Paddington;;;Jun 17, 2010
7.7;The Adventure Company;Agatha Christie: And Then There Were None;First-Person,Adventure,Modern,Third-Person,Modern;68;Oct 30, 2005
;;Agatha Christie: Dead Man's Folly;;;Oct 19, 2009
;;Agatha Christie: Death on the Nile;;;Oct 7, 2008
